English,Ukrainian
you,ти
I or I.,I або я
to,до
the,з
a or A.,A або A.
and,і
that,що
it,це
of,на
me,Я
what,що
is,є
in,у
this,це
know,знати
I'm,Я
for,для
no,ні
have,мати
my,мій
don't,не
just,просто
not,не
do,робити
be,бути
on,на
your,ваш
was,був
we,ми
it's,його
with,з
so,тому
but,але
all,все
well,Ну
are,є
he,він
oh,он
about,про
right,право
you're,ти
get,отримати
here,ось
out,поза
going,йдуть
like,люблю
yeah,так
if,якщо
her,її
she,вона
can,банкнота
up,вгору
want,бажати
think,думати
that's,Це
now,тепер
go,йти
him,його
at,в
how,як
got,здобули
there,там
one,один
did,зробила
why,чому
see,побачити
come,приходити
good,добрий
they,Вони
really,дійсно
as,як
would,б
look,виглядати
when,коли
time,час
will,воля
okay,добре
back,спинка
can't,не може
mean,середній
tell,розповідати
I'll,Я
from,з
hey,привіт
were,були
he's,він
could,міг
didn't,не
yes,так
his,його
been,був
or,або
something,щось
who,ВООЗ
because,оскільки
some,деякі
had,мав
then,потім
say,сказати
ok,в порядку
take,брати
an,АН
way,шлях
us,нас
little,мало
make,робити
need,потреба
gonna,збої
never,ніколи
we're,ми
too,теж
love,любов
she's,вона
I've,Я
sure,упевнений
them,їх
more,більше
over,над
our,наш
sorry,шкода
where,де
what's,що
let,дозволяє
thing,річ
am,амор
maybe,може бути
down,вниз
man,людина
has,мати
uh,е -е
very,дуже
by,біля
there's,є
should,слід
anything,що -небудь
said,сказаний
much,багато
any,будь -який
life,життя
even,навіть
off,не вистачати
please,будь ласка
doing,робити
thank,спасибі
give,давати
only,єдиний
thought,думка
help,допомога
two,два
talk,розмова
people,Люди
god,бог
still,нерухомий
wait,чекати
into,у
find,знаходити
nothing,ніщо
again,знову
things,речі
let's,давайте
doesn't,ні
call,закликати
told,розказаний
great,великий
before,до
better,краще
ever,колись
night,нічний
than,ніж
away,геть
first,спочатку
believe,вірити
other,інший
feel,відчувати
everything,все
work,працювати
you've,ти
fine,штраф
home,домашній
after,після
last,останній
these,ці
day,день
keep,тримати
does,подавати
put,поставити
around,навколо
stop,СТОП
they're,вони
I'd,Я
guy,городок
long,довгота
isn't,не
always,завжди
listen,слухати
wanted,розшуканий
Mr.,Містер.
guys,хлопці
huh,а
those,ті
big,великий
lot,лот
happened,сталося
thanks,Спасибі
won't,не
trying,намагання
kind,вид
wrong,неправильний
through,через
talking,розмова
made,зроблений
new,новий
being,буття
guess,здогадуватися
hi,Привіт
care,турбота
bad,поганий
mom,мама
remember,запам'ятати
getting,дістатися
we'll,Ну
together,разом
dad,тато
leave,залишати
mother,мама
place,місце
understand,зрозуміти
wouldn't,не б
actually,власне
hear,чути
baby,дитячий
nice,милий
father,батько
else,інакше
stay,залишатися
done,виконаний
wasn't,не було
their,їх
course,курс
might,могло
mind,розум
every,кожен
enough,достатньо
try,намагатися
hell,пекло
came,прийшов
someone,хтось
you'll,Ви
own,власний
family,сім'я
whole,цілий
another,інший
house or House,будинок або будинок
Jack or jack,Джек або Джек
yourself,себе
idea,ідея
ask,запитувати
best,найкращий
must,Потрібно
coming,прихід
old,старий
looking,на вигляд
woman,жінка
hello,привіт
which,який
years,роки
room,кімната
money,гроші
left,лівий
knew,знав
tonight,сьогодні
real,реальний
son,син
hope,надія
name,назва
same,однаковий
went,йти
um,гм
hmm,Хм
happy,щасливий
pretty,гарненький
saw,пила
girl,дівчинка
sir,сер
show,показувати
friend,друг
already,вже
saying,приказка
may or May,може або може
next,наступний
three,три
job,робота
problem,проблема
minute,хвилина
found,знайдений
world,світ
thinking,мислення
haven't,не
heard,почув
honey,милий
matter,речовина
myself,себе
couldn't,не міг
exactly,точно
having,що має
ah,ах
probably,мабуть
happen,траплятися
we've,Ми
hurt,боляче
boy,хлопчик
both,обидва
while,час
dead,мертвий
gotta,треба
alone,самотній
since,з тих пір
excuse,вища людина
start,почати
kill,убити
hard,важкий
you'd,Ви б
today,сьогодні
car,машина
ready,готовий
until,поки
without,без
whatever,що б не був
wants,бажати
hold,утримувати
wanna,хоче
yet,все -таки
seen,побачений
deal,угода
took,взяв
once,раз
gone,злий
called,названий
morning,ранковий
supposed,передбачуваний
friends,друзі
head,керівник
stuff,нагода
most,найбільше
used,використаний
worry,турбота
second,другий
part,розлучатися
live,жити
truth,правда
school,школа
face,обличчя
forget,забути
TRUE,Правдивий
business,бізнес
each,кожен
cause,спричинити
soon,незабаром
knows,знає
few,мало
telling,розповідний
wife,дружина
who's,хто
use,використання
chance,шанс
run,пробігати
move,рухатися
anyone,будь -хто
person,людина
bye,побачення
J.,J.
somebody,хтось
Dr. or dr.,Доктор або доктор.
heart,серце
such,такий
miss,міс
married,одружений
point,точка
later,пізніше
making,створення
meet,зустрічатися
anyway,у будь -якому випадку
many,багато
phone,телефон
reason,розум
damn,проклятий
lost,загублений
looks,погляди
bring,приносити
case,випадок
